RECDATETIME,SPECDESCSCI
2018-09-13 19:07:05,Pipistrellus pipistrellus
2018-09-13 19:08:30,Pipistrellus pipistrellus
2018-09-13 19:08:46,Pipistrellus pipistrellus
2018-09-13 19:09:50,Pipistrellus pipistrellus
2018-09-13 19:10:19,Pipistrellus pipistrellus
2018-09-13 19:12:42,Pipistrellus pipistrellus
2018-09-13 19:13:05,Pipistrellus pipistrellus
2018-09-13 19:13:10,Pipistrellus pipistrellus
2018-09-13 19:13:15,Pipistrellus pipistrellus
2018-09-13 19:13:23,Pipistrellus pipistrellus
2018-09-13 19:13:28,Pipistrellus pipistrellus
2018-09-13 19:15:36,Pipistrellus pipistrellus
2018-09-13 19:15:46,Pipistrellus pipistrellus
2018-09-13 19:16:00,Pipistrellus pipistrellus
2018-09-13 19:16:10,Pipistrellus pipistrellus
2018-09-13 19:16:44,Pipistrellus pipistrellus
2018-09-13 19:18:23,Pipistrellus pipistrellus
2018-09-13 19:18:40,Pipistrellus pipistrellus
2018-09-13 19:19:28,Pipistrellus pipistrellus
2018-09-13 19:20:00,Pipistrellus pipistrellus
2018-09-13 19:22:31,Pipistrellus pipistrellus
2018-09-13 19:22:44,Pipistrellus pipistrellus
2018-09-13 19:22:48,Pipistrellus pipistrellus
2018-09-13 19:22:53,Pipistrellus pipistrellus
2018-09-13 19:23:04,Pipistrellus pipistrellus
2018-09-13 19:23:09,Pipistrellus pipistrellus
2018-09-13 19:25:58,Pipistrellus pipistrellus
2018-09-13 19:26:07,Pipistrellus pipistrellus
2018-09-13 19:26:24,Pipistrellus pipistrellus
2018-09-13 19:26:26,Pipistrellus pipistrellus
2018-09-13 19:26:49,Pipistrellus pipistrellus
2018-09-13 19:27:53,Pipistrellus pipistrellus
2018-09-13 19:28:01,Pipistrellus pipistrellus
2018-09-13 19:28:13,Pipistrellus pipistrellus
2018-04-07 19:08:21,Pipistrellus nathusii
2018-04-07 19:08:30,Pipistrellus nathusii
2018-04-08 01:56:56,Pipistrellus nathusii
2018-04-08 01:59:18,Pipistrellus nathusii
2018-04-08 01:59:24,Pipistrellus nathusii
2018-04-08 02:01:14,Pipistrellus nathusii
2018-04-08 02:02:01,Pipistrellus nathusii
2018-04-08 02:02:36,Pipistrellus nathusii
2018-04-08 02:03:14,Pipistrellus nathusii
2018-04-08 02:03:54,Pipistrellus nathusii
2018-04-08 02:04:27,Pipistrellus nathusii
2018-04-08 02:05:00,Pipistrellus nathusii
2018-04-08 02:06:13,Pipistrellus nathusii
2018-04-08 02:06:50,Pipistrellus nathusii
2018-04-08 02:12:05,Pipistrellus nathusii
2018-04-08 02:12:44,Pipistrellus nathusii
2018-04-08 02:13:12,Pipistrellus nathusii
2018-04-08 02:13:41,Pipistrellus nathusii
2018-04-08 02:14:32,Pipistrellus nathusii
2018-04-08 03:21:32,Pipistrellus nathusii
2018-04-08 03:21:54,Pipistrellus nathusii
2018-04-08 03:22:29,Pipistrellus nathusii
2018-04-08 03:22:48,Pipistrellus nathusii
2018-04-08 03:22:55,Pipistrellus nathusii
2018-04-08 03:23:02,Pipistrellus nathusii
2018-04-08 03:24:31,Pipistrellus nathusii
2018-04-08 03:24:41,Pipistrellus nathusii
2018-04-08 03:24:44,Pipistrellus nathusii
2018-04-08 03:24:48,Pipistrellus nathusii
2018-04-08 03:24:55,Pipistrellus nathusii
2018-04-08 03:25:04,Pipistrellus nathusii
2018-04-08 03:25:23,Pipistrellus nathusii
2018-04-08 03:25:30,Pipistrellus nathusii
2018-04-08 03:25:50,Pipistrellus nathusii
2018-04-08 03:25:59,Pipistrellus nathusii
2018-04-08 03:26:29,Pipistrellus nathusii
2018-04-08 03:26:32,Pipistrellus nathusii
2018-04-08 03:26:35,Pipistrellus nathusii
2018-04-08 03:26:38,Pipistrellus nathusii
2018-04-08 03:26:46,Pipistrellus nathusii
2018-04-08 03:26:55,Pipistrellus nathusii
2018-04-08 03:27:04,Pipistrellus nathusii
2018-04-08 03:27:09,Pipistrellus nathusii
2018-04-08 03:27:21,Pipistrellus nathusii
2018-04-08 03:27:27,Pipistrellus nathusii
2018-04-08 03:27:56,Pipistrellus nathusii
2018-04-08 03:27:59,Pipistrellus nathusii
2018-04-08 03:28:08,Pipistrellus nathusii
2018-04-08 03:28:20,Pipistrellus nathusii
2018-04-08 03:28:25,Pipistrellus nathusii
2018-04-08 03:28:44,Pipistrellus nathusii
2018-04-08 03:32:31,Pipistrellus nathusii
2018-04-08 03:32:56,Pipistrellus nathusii
2018-04-08 03:32:58,Pipistrellus nathusii
2018-04-08 03:33:01,Pipistrellus nathusii
2018-04-08 03:33:54,Pipistrellus nathusii
2018-04-08 03:34:02,Pipistrellus nathusii
2018-04-08 03:34:19,Pipistrellus nathusii
2018-04-08 03:34:28,Pipistrellus nathusii
2018-04-08 03:34:33,Pipistrellus nathusii
2018-04-08 03:34:35,Pipistrellus nathusii
2018-04-08 03:34:49,Pipistrellus nathusii
2018-04-08 03:35:36,Pipistrellus nathusii
2018-04-08 03:36:05,Pipistrellus nathusii
2018-04-08 03:36:12,Pipistrellus nathusii
2018-04-08 03:36:31,Pipistrellus nathusii
2018-04-08 03:36:51,Pipistrellus nathusii
2018-04-08 03:36:54,Pipistrellus nathusii
2018-04-08 03:36:59,Pipistrellus nathusii
2018-04-08 03:37:15,Pipistrellus nathusii
2018-04-08 03:37:46,Pipistrellus nathusii
2018-04-08 03:37:51,Pipistrellus nathusii
2018-04-08 03:37:55,Pipistrellus nathusii
2018-04-08 03:38:13,Pipistrellus nathusii
2018-04-08 03:38:26,Pipistrellus nathusii
2018-04-08 03:38:37,Pipistrellus nathusii
2018-04-08 03:38:41,Pipistrellus nathusii
2018-04-08 03:39:11,Pipistrellus nathusii
2018-04-08 03:39:22,Pipistrellus nathusii
2018-04-08 03:39:44,Pipistrellus nathusii
2018-04-08 03:39:53,Pipistrellus nathusii
2018-04-08 03:40:03,Pipistrellus nathusii
2018-04-08 03:40:13,Pipistrellus nathusii
2018-04-08 03:40:23,Pipistrellus nathusii
2018-04-08 03:40:31,Pipistrellus nathusii
